PRODUCE,COST PER POUND,POUNDS SOLD,TOTAL
Celery,1.19,16.1,"=ROUND(B108*C108,2)"
Grapes,2.63,20.6,"=ROUND(B109*C109,2)"
Coconuts,1.18,38.6,"=ROUND(B110*C110,2)"
Coconuts,1.18,1.4,"=ROUND(B111*C111,2)"
Grapes,2.63,16.2,"=ROUND(B112*C112,2)"
Ginger,5.13,1.5,"=ROUND(B113*C113,2)"
Grapefruit,0.76,39.7,"=ROUND(B114*C114,2)"
Daikon,1.4,18.1,"=ROUND(B115*C115,2)"
Corn,1.07,38.6,"=ROUND(B116*C116,2)"
Daikon,1.4,29.9,"=ROUND(B117*C117,2)"
Orange,1.09,0.9,"=ROUND(B118*C118,2)"
Eggplant,2.32,39,"=ROUND(B119*C119,2)"
Brussels sprouts,1.65,34,"=ROUND(B120*C120,2)"
Ginger,5.13,4.600000000000001,"=ROUND(B121*C121,2)"
Coconuts,1.18,10.9,"=ROUND(B122*C122,2)"
Lettuce,1.88,16.7,"=ROUND(B123*C123,2)"
Carrots,1.26,29.7,"=ROUND(B124*C124,2)"
Orange,1.09,37.2,"=ROUND(B125*C125,2)"
Parsnips,2.27,19.8,"=ROUND(B126*C126,2)"
Yellow peppers,2.87,33.4,"=ROUND(B127*C127,2)"
Avocados,3.23,40,"=ROUND(B128*C128,2)"
Coconuts,1.18,5.100000000000001,"=ROUND(B129*C129,2)"
Beets,1.51,6.100000000000001,"=ROUND(B130*C130,2)"
Celery,1.19,0.5,"=ROUND(B131*C131,2)"
Green beans,2.52,27.4,"=ROUND(B132*C132,2)"
Butternut squash,1.28,24.8,"=ROUND(B133*C133,2)"
Asparagus,2.49,21.4,"=ROUND(B134*C134,2)"
Fava beans,2.69,14.7,"=ROUND(B135*C135,2)"
Green cabbage,0.8,35.1,"=ROUND(B136*C136,2)"
Apples,1.88,26.7,"=ROUND(B137*C137,2)"
Lettuce,1.88,22.6,"=ROUND(B138*C138,2)"
Bananas,0.86,29.2,"=ROUND(B139*C139,2)"
Red onion,0.78,17.4,"=ROUND(B140*C140,2)"
Parsnips,2.27,10.5,"=ROUND(B141*C141,2)"
Carrots,1.26,12.7,"=ROUND(B142*C142,2)"
Lemon,1.27,26.7,"=ROUND(B143*C143,2)"
Parsnips,2.27,3.2,"=ROUND(B144*C144,2)"
Ginger,5.13,16.8,"=ROUND(B145*C145,2)"
Daikon,1.4,17.6,"=ROUND(B146*C146,2)"
Butternut squash,1.28,30.5,"=ROUND(B147*C147,2)"
Strawberries,4.4,23.4,"=ROUND(B148*C148,2)"
Asparagus,2.49,16.6,"=ROUND(B149*C149,2)"
Celery,1.19,29.6,"=ROUND(B150*C150,2)"
Spinach,4.12,27.2,"=ROUND(B151*C151,2)"
Green beans,2.52,24.3,"=ROUND(B152*C152,2)"
Yellow peppers,2.87,37.4,"=ROUND(B153*C153,2)"
Lettuce,1.88,25.1,"=ROUND(B154*C154,2)"
Green beans,2.52,28.1,"=ROUND(B155*C155,2)"
Asparagus,2.49,7.7,"=ROUND(B156*C156,2)"
Apples,1.88,11.2,"=ROUND(B157*C157,2)"
Eggplant,2.32,16,"=ROUND(B158*C158,2)"
Potatoes,0.86,13.4,"=ROUND(B159*C159,2)"
Fava beans,2.69,22.2,"=ROUND(B160*C160,2)"
Watermelon,0.66,7.7,"=ROUND(B161*C161,2)"
Butternut squash,1.28,8.5,"=ROUND(B162*C162,2)"
Spinach,4.12,14.1,"=ROUND(B163*C163,2)"
Yellow peppers,2.87,33.6,"=ROUND(B164*C164,2)"
Green beans,2.52,22.4,"=ROUND(B165*C165,2)"
Cucumber,1.07,30.4,"=ROUND(B166*C166,2)"
Grapefruit,0.76,21.5,"=ROUND(B167*C167,2)"
Orange,1.09,18.5,"=ROUND(B168*C168,2)"
Lettuce,1.88,36.5,"=ROUND(B169*C169,2)"
Eggplant,2.32,14.4,"=ROUND(B170*C170,2)"
Eggplant,2.32,36.8,"=ROUND(B171*C171,2)"
Apples,1.88,24.2,"=ROUND(B172*C172,2)"
Tomatoes,3.16,0.6000000000000001,"=ROUND(B173*C173,2)"
Yellow peppers,2.87,9,"=ROUND(B174*C174,2)"
Fava beans,2.69,21,"=ROUND(B175*C175,2)"
Cucumber,1.07,25.2,"=ROUND(B176*C176,2)"
Brussels sprouts,1.65,20.5,"=ROUND(B177*C177,2)"
Kale,5.02,3.6,"=ROUND(B178*C178,2)"
Red onion,0.78,11.2,"=ROUND(B179*C179,2)"
Carrots,1.26,39.40000000000001,"=ROUND(B180*C180,2)"
Tomatoes,3.16,22.1,"=ROUND(B181*C181,2)"
Green beans,2.52,10.6,"=ROUND(B182*C182,2)"
Green cabbage,0.8,14.9,"=ROUND(B183*C183,2)"
Fava beans,2.69,10.1,"=ROUND(B184*C184,2)"
Green beans,2.52,4.600000000000001,"=ROUND(B185*C185,2)"
Parsnips,2.27,34.3,"=ROUND(B186*C186,2)"
Orange,1.09,5.100000000000001,"=ROUND(B187*C187,2)"
Coconuts,1.18,15.5,"=ROUND(B188*C188,2)"
Papaya,1.34,7.300000000000001,"=ROUND(B189*C189,2)"
Lime,1.06,33.5,"=ROUND(B190*C190,2)"
Potatoes,0.86,23.4,"=ROUND(B191*C191,2)"
Grapefruit,0.76,35,"=ROUND(B192*C192,2)"
Yellow peppers,2.87,28.2,"=ROUND(B193*C193,2)"
Apples,1.88,9.1,"=ROUND(B194*C194,2)"
Red onion,0.78,39.6,"=ROUND(B195*C195,2)"
Beets,1.51,1.2,"=ROUND(B196*C196,2)"
Grapes,2.63,4,"=ROUND(B197*C197,2)"
Beets,1.51,0.7000000000000001,"=ROUND(B198*C198,2)"
Strawberries,4.4,11,"=ROUND(B199*C199,2)"
Strawberries,4.4,14.4,"=ROUND(B200*C200,2)"
Eggplant,2.32,14.8,"=ROUND(B201*C201,2)"
Yellow peppers,2.87,18.8,"=ROUND(B202*C202,2)"
Yellow peppers,2.87,30.1,"=ROUND(B203*C203,2)"
Daikon,1.4,6.300000000000001,"=ROUND(B204*C204,2)"
Cucumber,1.07,3.3,"=ROUND(B205*C205,2)"
Bananas,0.86,24,"=ROUND(B206*C206,2)"
Butternut squash,1.28,4.800000000000001,"=ROUND(B207*C207,2)"
Tomatoes,3.16,21.3,"=ROUND(B208*C208,2)"
Bok choy,1.42,18.4,"=ROUND(B209*C209,2)"
Papaya,1.34,30.2,"=ROUND(B210*C210,2)"
Beets,1.51,29.9,"=ROUND(B211*C211,2)"
Garlic,3.07,35.8,"=ROUND(B212*C212,2)"
Avocados,3.23,21.2,"=ROUND(B213*C213,2)"
Corn,1.07,1.3,"=ROUND(B214*C214,2)"
Lettuce,1.88,31.9,"=ROUND(B215*C215,2)"
Apricots,3.71,30.4,"=ROUND(B216*C216,2)"
Butternut squash,1.28,13.4,"=ROUND(B217*C217,2)"
Green peppers,1.89,27.7,"=ROUND(B218*C218,2)"
Grapes,2.63,29.2,"=ROUND(B219*C219,2)"
Bok choy,1.42,18.7,"=ROUND(B220*C220,2)"
Orange,1.09,35.6,"=ROUND(B221*C221,2)"
Papaya,1.34,23.2,"=ROUND(B222*C222,2)"
Okra,2.26,22.5,"=ROUND(B223*C223,2)"
Yellow peppers,2.87,4,"=ROUND(B224*C224,2)"
Daikon,1.4,25.2,"=ROUND(B225*C225,2)"
Papaya,1.34,10.7,"=ROUND(B226*C226,2)"
Daikon,1.4,28.6,"=ROUND(B227*C227,2)"
Brussels sprouts,1.65,32.8,"=ROUND(B228*C228,2)"
Butternut squash,1.28,32.8,"=ROUND(B229*C229,2)"
Watermelon,0.66,11.7,"=ROUND(B230*C230,2)"
Carrots,1.26,1.4,"=ROUND(B231*C231,2)"
Bananas,0.86,28.6,"=ROUND(B232*C232,2)"
Yellow peppers,2.87,26,"=ROUND(B233*C233,2)"
Orange,1.09,24.9,"=ROUND(B234*C234,2)"
Celery,1.19,35.3,"=ROUND(B235*C235,2)"
Apples,1.88,34.6,"=ROUND(B236*C236,2)"
Potatoes,0.86,36.6,"=ROUND(B237*C237,2)"
Garlic,3.07,21.5,"=ROUND(B238*C238,2)"
Celery,1.19,32.6,"=ROUND(B239*C239,2)"
Lime,1.06,6.600000000000001,"=ROUND(B240*C240,2)"
Watermelon,0.66,7.300000000000001,"=ROUND(B241*C241,2)"
Lemon,1.27,32.2,"=ROUND(B242*C242,2)"
Ginger,5.13,2.3,"=ROUND(B243*C243,2)"
Orange,1.09,11.1,"=ROUND(B244*C244,2)"
Grapes,2.63,5.2,"=ROUND(B245*C245,2)"
Daikon,1.4,37.6,"=ROUND(B246*C246,2)"
Potatoes,0.86,36.4,"=ROUND(B247*C247,2)"
Green cabbage,0.8,39.2,"=ROUND(B248*C248,2)"
Carrots,1.26,35.1,"=ROUND(B249*C249,2)"
Yellow peppers,2.87,7.800000000000001,"=ROUND(B250*C250,2)"
Papaya,1.34,27.2,"=ROUND(B251*C251,2)"
Yellow peppers,2.87,2.8,"=ROUND(B252*C252,2)"
Fava beans,2.69,18.1,"=ROUND(B253*C253,2)"
Kale,5.02,25.2,"=ROUND(B254*C254,2)"
Fava beans,2.69,37.7,"=ROUND(B255*C255,2)"
Tomatoes,3.16,2.2,"=ROUND(B256*C256,2)"
Lemon,1.27,34.3,"=ROUND(B257*C257,2)"
Fava beans,2.69,2.8,"=ROUND(B258*C258,2)"
Corn,1.07,37.3,"=ROUND(B259*C259,2)"
Ginger,5.13,39.5,"=ROUND(B260*C260,2)"
Carrots,1.26,39.7,"=ROUND(B261*C261,2)"
Beets,1.51,4.800000000000001,"=ROUND(B262*C262,2)"
Carrots,1.26,16.5,"=ROUND(B263*C263,2)"
Apples,1.88,25.3,"=ROUND(B264*C264,2)"
Cherries,9.5,11.3,"=ROUND(B265*C265,2)"
Lettuce,1.88,30.6,"=ROUND(B266*C266,2)"
Eggplant,2.32,34.1,"=ROUND(B267*C267,2)"
Lime,1.06,28.4,"=ROUND(B268*C268,2)"
Strawberries,4.4,6.4,"=ROUND(B269*C269,2)"
Daikon,1.4,25.8,"=ROUND(B270*C270,2)"
Cherries,9.5,16,"=ROUND(B271*C271,2)"
Ginger,5.13,27.7,"=ROUND(B272*C272,2)"
Papaya,1.34,34.5,"=ROUND(B273*C273,2)"
Corn,1.07,4.5,"=ROUND(B274*C274,2)"
Carrots,1.26,17.7,"=ROUND(B275*C275,2)"
Apricots,3.71,32.4,"=ROUND(B276*C276,2)"
Yellow peppers,2.87,25.8,"=ROUND(B277*C277,2)"
Orange,1.09,11.3,"=ROUND(B278*C278,2)"
Daikon,1.4,28.3,"=ROUND(B279*C279,2)"
Apricots,3.71,7.800000000000001,"=ROUND(B280*C280,2)"
Potatoes,0.86,26.3,"=ROUND(B281*C281,2)"
Spinach,4.12,31.4,"=ROUND(B282*C282,2)"
Spinach,4.12,32,"=ROUND(B283*C283,2)"
Eggplant,2.32,39,"=ROUND(B284*C284,2)"
Avocados,3.23,2.1,"=ROUND(B285*C285,2)"
Asparagus,2.49,17.6,"=ROUND(B286*C286,2)"
Corn,1.07,12.9,"=ROUND(B287*C287,2)"
Lime,1.06,10.4,"=ROUND(B288*C288,2)"
Watermelon,0.66,3.4,"=ROUND(B289*C289,2)"
Apples,1.88,23.5,"=ROUND(B290*C290,2)"
Kale,5.02,29.7,"=ROUND(B291*C291,2)"
Lemon,1.27,15.6,"=ROUND(B292*C292,2)"
Celery,1.19,24.5,"=ROUND(B293*C293,2)"
Cucumber,1.07,2,"=ROUND(B294*C294,2)"
Fava beans,2.69,10.8,"=ROUND(B295*C295,2)"
Spinach,4.12,39.1,"=ROUND(B296*C296,2)"
Grapes,2.63,13.6,"=ROUND(B297*C297,2)"
Yellow peppers,2.87,16.4,"=ROUND(B298*C298,2)"
Strawberries,4.4,37,"=ROUND(B299*C299,2)"
Cherries,9.5,35.1,"=ROUND(B300*C300,2)"
Apples,1.88,35.9,"=ROUND(B301*C301,2)"
Bok choy,1.42,24,"=ROUND(B302*C302,2)"
Strawberries,4.4,32.7,"=ROUND(B303*C303,2)"
Lime,1.06,37.3,"=ROUND(B304*C304,2)"
Lettuce,1.88,23.5,"=ROUND(B305*C305,2)"
Grapes,2.63,36.1,"=ROUND(B306*C306,2)"
Butternut squash,1.28,1.7,"=ROUND(B307*C307,2)"
Okra,2.26,1.9,"=ROUND(B308*C308,2)"
Green peppers,1.89,32,"=ROUND(B309*C309,2)"
Corn,1.07,31.1,"=ROUND(B310*C310,2)"
Okra,2.26,4.5,"=ROUND(B311*C311,2)"
Apricots,3.71,4,"=ROUND(B312*C312,2)"
Parsnips,2.27,18.2,"=ROUND(B313*C313,2)"
Daikon,1.4,19.1,"=ROUND(B314*C314,2)"
Papaya,1.34,11.7,"=ROUND(B315*C315,2)"
Okra,2.26,11.5,"=ROUND(B316*C316,2)"
Lettuce,1.88,18.6,"=ROUND(B317*C317,2)"
Yellow peppers,2.87,26.1,"=ROUND(B318*C318,2)"
Green beans,2.52,37.2,"=ROUND(B319*C319,2)"
Butternut squash,1.28,25.7,"=ROUND(B320*C320,2)"
Cucumber,1.07,7.5,"=ROUND(B321*C321,2)"
Lettuce,1.88,14.9,"=ROUND(B322*C322,2)"
Apples,1.88,12.3,"=ROUND(B323*C323,2)"
Okra,2.26,9,"=ROUND(B324*C324,2)"
Asparagus,2.49,17.9,"=ROUND(B325*C325,2)"
Beets,1.51,33.1,"=ROUND(B326*C326,2)"
Garlic,3.07,33.8,"=ROUND(B327*C327,2)"
Cucumber,1.07,37.8,"=ROUND(B328*C328,2)"
Green cabbage,0.8,20,"=ROUND(B329*C329,2)"
Apricots,3.71,39.3,"=ROUND(B330*C330,2)"
Daikon,1.4,4.9,"=ROUND(B331*C331,2)"
Daikon,1.4,14.9,"=ROUND(B332*C332,2)"
Bananas,0.86,31.2,"=ROUND(B333*C333,2)"
Apricots,3.71,35.7,"=ROUND(B334*C334,2)"
Strawberries,4.4,25.5,"=ROUND(B335*C335,2)"
Spinach,4.12,24.1,"=ROUND(B336*C336,2)"
Carrots,1.26,1.7,"=ROUND(B337*C337,2)"
Lemon,1.27,17.5,"=ROUND(B338*C338,2)"
Green peppers,1.89,28.8,"=ROUND(B339*C339,2)"
Eggplant,2.32,26.8,"=ROUND(B340*C340,2)"
Avocados,3.23,5.5,"=ROUND(B341*C341,2)"
Bananas,0.86,34.4,"=ROUND(B342*C342,2)"
Avocados,3.23,24.7,"=ROUND(B343*C343,2)"
Lime,1.06,14.3,"=ROUND(B344*C344,2)"
Celery,1.19,28.4,"=ROUND(B345*C345,2)"
Strawberries,4.4,9.5,"=ROUND(B346*C346,2)"
Bok choy,1.42,32.2,"=ROUND(B347*C347,2)"
Celery,1.19,23.7,"=ROUND(B348*C348,2)"
Apples,1.88,25.6,"=ROUND(B349*C349,2)"
Bok choy,1.42,6.800000000000001,"=ROUND(B350*C350,2)"
Bananas,0.86,23,"=ROUND(B351*C351,2)"
Lemon,1.27,17.1,"=ROUND(B352*C352,2)"
Asparagus,2.49,14.8,"=ROUND(B353*C353,2)"
Brussels sprouts,1.65,16.2,"=ROUND(B354*C354,2)"
Bananas,0.86,27.9,"=ROUND(B355*C355,2)"
Green cabbage,0.8,28.7,"=ROUND(B356*C356,2)"
Green peppers,1.89,26.7,"=ROUND(B357*C357,2)"
Butternut squash,1.28,36.4,"=ROUND(B358*C358,2)"
Potatoes,0.86,10.3,"=ROUND(B359*C359,2)"
Strawberries,4.4,17.4,"=ROUND(B360*C360,2)"
Lemon,1.27,23.9,"=ROUND(B361*C361,2)"
Celery,1.19,8.8,"=ROUND(B362*C362,2)"
Spinach,4.12,11.4,"=ROUND(B363*C363,2)"
Parsnips,2.27,5,"=ROUND(B364*C364,2)"
Avocados,3.23,29.4,"=ROUND(B365*C365,2)"
Brussels sprouts,1.65,10.9,"=ROUND(B366*C366,2)"
Lime,1.06,20.7,"=ROUND(B367*C367,2)"
Papaya,1.34,20.9,"=ROUND(B368*C368,2)"
Coconuts,1.18,7.100000000000001,"=ROUND(B369*C369,2)"
Spinach,4.12,25.1,"=ROUND(B370*C370,2)"
Orange,1.09,32.8,"=ROUND(B371*C371,2)"
Carrots,1.26,6.800000000000001,"=ROUND(B372*C372,2)"
Lemon,1.27,13.4,"=ROUND(B373*C373,2)"
Lime,1.06,4.9,"=ROUND(B374*C374,2)"
Kale,5.02,24.3,"=ROUND(B375*C375,2)"
Beets,1.51,10.5,"=ROUND(B376*C376,2)"
Asparagus,2.49,38.7,"=ROUND(B377*C377,2)"
Corn,1.07,30.3,"=ROUND(B378*C378,2)"
Parsnips,2.27,21.6,"=ROUND(B379*C379,2)"
Ginger,5.13,37.5,"=ROUND(B380*C380,2)"
Corn,1.07,28.1,"=ROUND(B381*C381,2)"
Apricots,3.71,23,"=ROUND(B382*C382,2)"
Lettuce,1.88,26.5,"=ROUND(B383*C383,2)"
Potatoes,0.86,29.4,"=ROUND(B384*C384,2)"
Garlic,3.07,7.300000000000001,"=ROUND(B385*C385,2)"
Eggplant,2.32,7.2,"=ROUND(B386*C386,2)"
Coconuts,1.18,30.1,"=ROUND(B387*C387,2)"
Asparagus,2.49,16.8,"=ROUND(B388*C388,2)"
Tomatoes,3.16,22.7,"=ROUND(B389*C389,2)"
Papaya,1.34,11.1,"=ROUND(B390*C390,2)"
Celery,1.19,11.6,"=ROUND(B391*C391,2)"
Orange,1.09,36.3,"=ROUND(B392*C392,2)"
Ginger,5.13,31,"=ROUND(B393*C393,2)"
Potatoes,0.86,18.5,"=ROUND(B394*C394,2)"
Parsnips,2.27,12.7,"=ROUND(B395*C395,2)"
Yellow peppers,2.87,29.1,"=ROUND(B396*C396,2)"
Grapefruit,0.76,20,"=ROUND(B397*C397,2)"
Green peppers,1.89,27.3,"=ROUND(B398*C398,2)"
Corn,1.07,14.4,"=ROUND(B399*C399,2)"
Carrots,1.26,15.6,"=ROUND(B400*C400,2)"
Eggplant,2.32,0.6000000000000001,"=ROUND(B401*C401,2)"
Coconuts,1.18,19.5,"=ROUND(B402*C402,2)"
Green cabbage,0.8,38.7,"=ROUND(B403*C403,2)"
Apples,1.88,9,"=ROUND(B404*C404,2)"
Cherries,9.5,36,"=ROUND(B405*C405,2)"
Brussels sprouts,1.65,33,"=ROUND(B406*C406,2)"
Strawberries,4.4,7,"=ROUND(B407*C407,2)"
Bok choy,1.42,21,"=ROUND(B408*C408,2)"
Yellow peppers,2.87,12.2,"=ROUND(B409*C409,2)"
Okra,2.26,5.300000000000001,"=ROUND(B410*C410,2)"
Orange,1.09,29.9,"=ROUND(B411*C411,2)"
Avocados,3.23,6.600000000000001,"=ROUND(B412*C412,2)"
Spinach,4.12,2.8,"=ROUND(B413*C413,2)"
Apricots,3.71,25.2,"=ROUND(B414*C414,2)"
Coconuts,1.18,37.1,"=ROUND(B415*C415,2)"
Grapes,2.63,14,"=ROUND(B416*C416,2)"
Okra,2.26,9.3,"=ROUND(B417*C417,2)"
Eggplant,2.32,31.4,"=ROUND(B418*C418,2)"
Bok choy,1.42,18.4,"=ROUND(B419*C419,2)"
Eggplant,2.32,14,"=ROUND(B420*C420,2)"
Beets,1.51,2.9,"=ROUND(B421*C421,2)"
Garlic,3.07,24.4,"=ROUND(B422*C422,2)"
Kale,5.02,26.7,"=ROUND(B423*C423,2)"
Lime,1.06,11.4,"=ROUND(B424*C424,2)"
Avocados,3.23,33.8,"=ROUND(B425*C425,2)"
Lime,1.06,31.7,"=ROUND(B426*C426,2)"
Papaya,1.34,31.3,"=ROUND(B427*C427,2)"
Lettuce,1.88,25.3,"=ROUND(B428*C428,2)"
Red onion,0.78,24.9,"=ROUND(B429*C429,2)"
Fava beans,2.69,6.7,"=ROUND(B430*C430,2)"
Okra,2.26,5.5,"=ROUND(B431*C431,2)"
Beets,1.51,24.2,"=ROUND(B432*C432,2)"
Coconuts,1.18,29.3,"=ROUND(B433*C433,2)"
Grapes,2.63,30.7,"=ROUND(B434*C434,2)"
Ginger,5.13,35.8,"=ROUND(B435*C435,2)"
Asparagus,2.49,7.600000000000001,"=ROUND(B436*C436,2)"
Apples,1.88,10.9,"=ROUND(B437*C437,2)"
Garlic,3.07,22.9,"=ROUND(B438*C438,2)"
Corn,1.07,30.8,"=ROUND(B439*C439,2)"
Potatoes,0.86,37.4,"=ROUND(B440*C440,2)"
Apricots,3.71,36.4,"=ROUND(B441*C441,2)"
Spinach,4.12,1.7,"=ROUND(B442*C442,2)"
Grapefruit,0.76,35.6,"=ROUND(B443*C443,2)"
Cucumber,1.07,31.5,"=ROUND(B444*C444,2)"
Kale,5.02,36.9,"=ROUND(B445*C445,2)"
Lemon,1.27,8.700000000000001,"=ROUND(B446*C446,2)"
Green beans,2.52,21.1,"=ROUND(B447*C447,2)"
Celery,1.19,34.3,"=ROUND(B448*C448,2)"
Potatoes,0.86,27.3,"=ROUND(B449*C449,2)"
Asparagus,2.49,15,"=ROUND(B450*C450,2)"
Eggplant,2.32,24.7,"=ROUND(B451*C451,2)"
Cucumber,1.07,31.3,"=ROUND(B452*C452,2)"
Garlic,3.07,35.8,"=ROUND(B453*C453,2)"
Carrots,1.26,11.9,"=ROUND(B454*C454,2)"
Red onion,0.78,34.4,"=ROUND(B455*C455,2)"
Lettuce,1.88,31.8,"=ROUND(B456*C456,2)"
Apples,1.88,37.4,"=ROUND(B457*C457,2)"
